CUSTOMER_ID,CHATBOT_USAGE_COUNT,LAST_CHATBOT_INTERACTION,EMAIL_OPENED_COUNT,CLICKED_AD_CAMPAIGNS,PARTICIPATED_IN_SURVEY,PREFERRED_CHANNEL,LOYALTY_PROGRAM_STATUS,MARKETING_RESPONSIVENESS,REFERRAL_LIKELIHOOD,GENDER,TENURE_MONTHS,TOTAL_TRANSACTIONS,TOTAL_UNITS_PURCHASED,TOTAL_SPEND,AVG_RATING,FIRST_PURCHASE_DATE,LAST_PURCHASE_DATE
14525,6,6/10/2024,5,2,false,Social Media,Silver,High,Very Likely,F,48,9,10,745.35,3.000000,21/05/2024,9/11/2024
17504,2,2/8/2024,5,3,true,Social Media,Silver,High,Likely,F,9,15,21,596.26,2.933333,10/01/2024,10/01/2024
14389,3,27/11/2024,6,1,true,Chatbot,Silver,Low,Unlikely,M,38,6,106,215.99,2.833333,23/10/2024,23/10/2024
12480,4,18/8/2024,3,2,false,Email,None,High,Very Likely,M,22,19,24,191.84,2.473684,8/06/2024,8/06/2024
17760,3,26/6/2024,3,1,false,Chatbot,Gold,Moderate,Unlikely,F,45,5,6,588.84,3.400000,13/01/2024,13/01/2024
12931,3,26/9/2024,5,2,false,Email,Bronze,Low,Unlikely,F,44,1,1,2.39,2.000000,29/06/2024,29/06/2024
17809,3,28/6/2024,5,1,true,SMS,Bronze,Moderate,Likely,F,24,7,51,494.71,3.142857,2/04/2024,2/04/2024
12370,2,26/9/2024,4,5,false,Chatbot,None,High,Likely,F,21,40,159,2007.53,2.625000,25/06/2024,26/05/2024
17062,3,22/9/2024,6,2,false,Email,Bronze,High,Likely,M,44,39,226,3556.47,2.666667,14/04/2024,22/11/2024
13050,4,31/8/2024,8,1,false,Social Media,Bronze,High,Very Likely,F,10,42,63,4343.32,3.571429,10/08/2024,7/09/2024
13725,1,29/12/2024,4,2,false,Email,Silver,High,Very Likely,F,48,17,23,2472.42,3.941176,22/12/2024,23/12/2024
13668,3,30/12/2024,5,2,false,SMS,None,High,Likely,F,15,27,56,1833.5,2.703704,19/12/2024,8/07/2024
15038,4,20/12/2024,5,1,false,Email,Silver,High,Likely,F,37,16,18,1105.91,3.250000,2/11/2024,2/12/2024
15789,3,22/12/2024,9,1,false,Email,Gold,High,Very Likely,F,28,14,29,924.4,2.500000,19/06/2024,19/06/2024
15732,5,17/4/2024,5,3,true,Chatbot,Bronze,Moderate,Likely,F,21,3,3,310.5,3.000000,25/01/2024,25/01/2024
15626,4,1/11/2024,2,1,true,Chatbot,Silver,Moderate,Likely,F,8,10,16,422.71,2.700000,30/08/2024,30/08/2024
13829,3,20/12/2024,5,2,false,Email,None,Low,Unlikely,F,38,1,1,16.99,3.000000,6/12/2024,6/12/2024
15062,5,22/12/2024,4,1,false,Email,None,Moderate,Likely,F,22,4,4,161.27,3.250000,6/11/2024,6/11/2024
16905,2,10/10/2024,7,1,false,Email,None,Moderate,Likely,F,33,6,36,694.88,3.000000,2/01/2024,2/01/2024
15589,2,17/12/2024,1,1,false,SMS,Silver,Moderate,Unlikely,F,11,6,73,527.33,3.166667,12/11/2024,12/11/2024
17158,2,3/8/2024,5,0,false,SMS,Silver,High,Very Likely,M,17,10,10,733.74,2.500000,28/05/2024,29/05/2024
16503,2,27/9/2024,2,3,false,Email,Bronze,High,Likely,F,29,25,112,2048.65,3.040000,20/06/2024,31/05/2024
12347,1,3/8/2024,3,1,true,Email,Gold,High,Likely,M,20,35,182,8164.55,3.142857,11/01/2024,24/03/2024
13527,5,18/9/2024,4,2,false,Email,Silver,Low,Neutral,F,44,4,5,40.36,2.500000,9/08/2024,9/08/2024
16493,2,5/10/2024,3,1,false,Chatbot,Silver,Low,Neutral,F,37,6,7,30.17,2.833333,30/08/2024,30/08/2024
14404,1,5/7/2024,5,2,false,Email,Bronze,High,Likely,M,32,21,24,1176.77,3.238095,3/02/2024,9/06/2024
12583,2,4/6/2024,3,1,false,Chatbot,Silver,High,Likely,M,33,19,100,1477.52,2.789474,1/01/2024,8/02/2024
14766,2,13/9/2024,6,0,false,Chatbot,None,Low,Unlikely,M,24,,,,,,
16186,2,23/6/2024,7,3,false,Email,Silver,Moderate,Likely,F,18,11,31,312.34,2.545455,25/01/2024,25/01/2024
13983,6,18/12/2024,2,1,false,Email,Silver,High,Likely,M,30,18,22,1643.33,2.500000,13/09/2024,9/12/2024
16893,3,28/12/2024,4,2,false,SMS,None,High,Likely,F,50,29,80,2446.12,3.137931,29/03/2024,30/03/2024
18050,6,6/11/2024,5,3,false,Email,None,Moderate,Unlikely,F,48,1,1,149,4.000000,6/09/2024,6/09/2024
18032,6,19/12/2024,6,5,false,SMS,Silver,Moderate,Unlikely,F,37,3,3,25.69,2.000000,8/11/2024,8/11/2024
16153,5,4/6/2024,8,1,true,Email,Bronze,Moderate,Unlikely,M,29,4,4,295.98,2.500000,7/05/2024,7/05/2024
14135,3,9/11/2024,7,1,false,SMS,None,High,Very Likely,F,21,37,119,1646.89,2.783784,17/01/2024,9/09/2024
17643,0,,6,2,false,Email,Gold,Moderate,Unlikely,F,33,5,5,167.08,3.000000,1/12/2024,1/12/2024
14741,1,16/11/2024,8,2,false,Email,None,Moderate,Likely,M,32,8,8,202.36,2.500000,14/05/2024,17/01/2024
17671,5,19/12/2024,4,0,false,Email,Gold,Low,Neutral,F,34,13,26,362.74,1.923077,18/04/2024,18/04/2024
17790,2,26/4/2024,7,1,false,SMS,Silver,High,Likely,F,34,11,14,933.53,2.454545,13/05/2024,25/06/2024
14639,2,27/12/2024,4,2,true,Chatbot,None,High,Likely,M,46,14,20,1255.66,2.000000,16/05/2024,17/05/2024
17389,1,16/9/2024,7,2,true,Email,Silver,Low,Unlikely,F,2,,,,,,
17519,3,1/10/2024,6,2,false,Email,None,Moderate,Unlikely,F,46,8,48,734.15,2.250000,17/03/2024,17/03/2024
17287,4,5/8/2024,4,8,false,Chatbot,Bronze,Moderate,Likely,F,45,9,67,849.58,2.777778,21/01/2024,21/03/2024
17894,5,10/6/2024,5,7,false,Email,Bronze,High,Likely,F,37,50,116,4370.34,2.900000,13/07/2024,6/07/2024
14502,1,11/11/2024,8,0,false,SMS,Silver,High,Likely,M,22,29,37,2571.76,3.103448,26/11/2024,27/11/2024
16033,8,3/10/2024,7,2,false,Email,Bronze,High,Likely,F,48,77,384,4138.58,2.883117,14/09/2024,30/05/2024
15456,6,20/12/2024,6,5,true,Chatbot,None,High,Very Likely,M,28,12,14,617.91,2.083333,6/11/2024,6/11/2024
12793,7,21/12/2024,5,1,false,SMS,Silver,High,Very Likely,F,39,20,57,2098.68,2.500000,2/08/2024,8/09/2024
15759,3,25/7/2024,7,3,false,Email,Gold,Low,Unlikely,M,26,6,6,81.78,1.833333,20/06/2024,20/06/2024
15311,6,29/12/2024,9,1,false,Chatbot,None,High,Very Likely,F,40,266,913,28074.04,3.488722,1/02/2024,9/12/2024
12947,4,11/2/2024,6,0,false,Email,Silver,High,Likely,M,48,16,24,2080.98,3.625000,14/01/2024,8/01/2024
17189,3,23/12/2024,7,2,true,Social Media,None,High,Likely,F,42,22,179,1675.39,2.818182,6/12/2024,6/12/2024
15898,3,27/4/2024,6,3,true,Email,Silver,High,Very Likely,M,27,31,36,2621.42,3.129032,22/03/2024,3/05/2024
15197,1,19/8/2024,7,2,true,Chatbot,Gold,Moderate,Likely,F,45,2,2,27.18,1.500000,22/06/2024,22/06/2024
13077,3,25/8/2024,5,3,false,Chatbot,None,Moderate,Unlikely,F,45,6,26,371.98,2.500000,4/07/2024,4/07/2024
15052,4,20/12/2024,4,3,false,Social Media,Silver,High,Likely,F,33,14,31,1392.23,2.642857,17/10/2024,17/10/2024
15606,5,4/10/2024,4,2,false,Email,Bronze,Moderate,Unlikely,F,15,9,13,506.17,2.555556,22/09/2024,22/09/2024
13846,1,12/3/2024,3,1,false,Social Media,Bronze,High,Very Likely,F,4,8,141,372.19,2.500000,6/02/2024,6/02/2024
16365,3,5/5/2024,5,1,false,Email,None,Moderate,Likely,F,49,3,3,357,3.000000,27/03/2024,27/03/2024
15046,2,14/7/2024,1,1,true,SMS,Bronze,High,Likely,F,4,20,28,2367.73,2.900000,12/12/2024,24/07/2024
17714,4,7/7/2024,5,1,false,SMS,Silver,Moderate,Likely,F,6,6,8,372.69,2.500000,10/05/2024,10/05/2024
15719,2,31/12/2024,5,2,false,Email,None,High,Very Likely,F,16,88,344,7862.16,3.306818,18/12/2024,28/07/2024
15535,4,2/10/2024,5,1,false,Email,Silver,High,Very Likely,F,24,17,27,2660.27,3.117647,9/05/2024,9/05/2024
17569,1,29/12/2024,2,2,true,Social Media,None,Moderate,Unlikely,F,41,9,14,591.58,2.444444,20/08/2024,21/08/2024
13693,5,15/10/2024,4,4,false,Social Media,None,Low,Unlikely,M,3,5,11,68.34,2.400000,18/09/2024,18/09/2024
14916,4,22/10/2024,2,1,false,Email,None,Moderate,Unlikely,F,42,8,12,963.94,2.875000,24/09/2024,24/09/2024
18283,1,29/11/2024,2,2,false,SMS,Bronze,High,Likely,F,36,50,93,3366.69,2.580000,10/10/2024,29/07/2024
14976,5,24/9/2024,2,3,false,SMS,Silver,Moderate,Likely,M,17,8,9,687.17,3.375000,9/08/2024,9/08/2024
16333,5,23/12/2024,3,2,false,Email,Silver,Low,Unlikely,F,41,1,5,249.75,2.000000,16/12/2024,16/12/2024
15555,3,5/5/2024,7,0,false,SMS,None,High,Likely,F,34,48,160,3019.41,2.958333,15/05/2024,28/02/2024
17048,1,23/12/2024,2,2,false,Email,Silver,Moderate,Likely,F,39,7,8,403.68,3.000000,10/05/2024,25/08/2024
17001,2,12/10/2024,7,2,false,Email,Bronze,High,Likely,F,18,15,57,562.5,3.200000,13/06/2024,17/10/2024
16393,5,5/3/2024,4,2,false,Email,None,High,Very Likely,F,20,10,11,585.07,3.000000,23/02/2024,5/06/2024
17025,1,9/3/2024,3,3,false,Chatbot,None,Low,Unlikely,F,45,2,2,276.48,3.000000,13/01/2024,14/01/2024
17591,6,23/5/2024,3,2,false,Chatbot,None,High,Likely,F,25,55,78,3197.77,3.090909,13/10/2024,25/03/2024
17526,6,9/9/2024,6,1,false,Social Media,None,Low,Unlikely,M,22,,,,,,
15018,7,3/10/2024,8,0,false,Email,Bronze,Low,Neutral,F,22,,,,,,
14898,6,29/7/2024,4,0,false,Chatbot,None,Moderate,Unlikely,F,25,7,12,1069.63,3.000000,19/04/2024,9/12/2024
14307,2,5/5/2024,5,1,false,SMS,None,High,Very Likely,F,28,39,126,3282.76,2.564103,1/04/2024,23/09/2024
17609,3,17/8/2024,10,1,false,Email,None,High,Very Likely,M,21,57,156,3304.88,2.929825,9/07/2024,9/07/2024
17525,3,27/6/2024,6,3,false,SMS,Bronze,Moderate,Likely,M,11,6,9,324.33,2.166667,6/06/2024,6/06/2024
18156,6,16/3/2024,2,0,false,Chatbot,Gold,High,Likely,F,26,25,104,1374.59,3.080000,17/02/2024,17/02/2024
17551,4,28/12/2024,6,1,false,Email,Bronze,High,Likely,M,32,22,328,1263.84,2.818182,6/09/2024,6/09/2024
14239,7,11/12/2024,9,2,false,SMS,None,Moderate,Likely,F,46,3,3,46.73,3.333333,11/12/2024,11/12/2024
17585,3,3/9/2024,4,2,true,Email,Bronze,High,Very Likely,F,26,8,219,1344.66,2.875000,24/07/2024,24/07/2024
18178,2,15/12/2024,5,3,false,Chatbot,Bronze,High,Very Likely,F,33,14,18,434.87,2.428571,19/12/2024,28/04/2024
18229,0,,1,2,false,SMS,Silver,High,Very Likely,M,16,9,13,899.06,2.777778,15/01/2024,30/08/2024
15032,3,16/6/2024,8,3,true,Email,Bronze,High,Likely,F,4,14,87,1038.16,2.500000,4/04/2024,4/04/2024
14514,2,8/12/2024,4,2,false,Chatbot,Silver,High,Likely,F,29,13,53,678.96,2.615385,25/08/2024,25/08/2024
17085,2,14/8/2024,4,1,false,Email,Gold,High,Likely,F,19,34,286,2565.66,3.000000,5/07/2024,7/06/2024
13615,4,11/11/2024,3,2,false,Email,None,High,Likely,F,11,10,92,627.42,3.500000,18/10/2024,18/10/2024
16271,2,2/10/2024,4,7,false,Chatbot,None,Moderate,Likely,M,24,9,11,402.92,2.111111,20/06/2024,20/06/2024
17511,1,3/3/2024,6,1,false,Social Media,Bronze,High,Very Likely,F,25,112,422,9273.63,3.250000,1/03/2024,6/06/2024
17771,1,12/12/2024,5,2,false,Email,None,High,Likely,F,33,15,19,1715.88,3.266667,28/09/2024,28/09/2024
16945,2,17/12/2024,6,3,false,Email,Gold,Moderate,Likely,F,9,6,6,214.19,2.333333,22/06/2024,22/06/2024
16983,3,14/5/2024,7,1,false,SMS,Silver,High,Very Likely,F,21,6,8,354.13,3.333333,10/11/2024,17/02/2024
16424,1,25/11/2024,4,3,false,Social Media,Gold,Low,Unlikely,M,29,,,,,,
15465,2,10/11/2024,3,0,false,Email,Silver,High,Likely,F,14,12,40,484.14,2.750000,10/05/2024,8/07/2024
15615,4,17/12/2024,7,0,true,Email,Silver,High,Likely,M,19,25,224,2622.11,2.880000,30/08/2024,6/12/2024
18256,5,30/5/2024,3,3,false,Social Media,None,Low,Unlikely,M,45,2,2,28.78,3.000000,7/05/2024,7/05/2024
17105,2,31/12/2024,6,5,false,Social Media,Bronze,High,Very Likely,F,38,15,20,1998.07,3.333333,30/12/2024,30/12/2024
15823,3,14/8/2024,6,1,false,SMS,Bronze,High,Likely,M,27,9,10,290.29,2.888889,26/01/2024,28/07/2024
15845,2,26/4/2024,5,2,true,Chatbot,None,Moderate,Likely,M,22,3,142,2205.13,3.000000,8/01/2024,8/01/2024
13709,2,31/12/2024,7,1,false,SMS,Bronze,High,Very Likely,F,22,14,52,1437.98,2.714286,21/11/2024,21/11/2024
15749,3,24/12/2024,3,3,false,Social Media,Gold,Low,Neutral,F,44,4,6,475.5,3.500000,19/08/2024,19/08/2024
13798,5,21/6/2024,6,1,false,SMS,Silver,High,Very Likely,M,37,50,153,5095.15,3.120000,10/11/2024,5/02/2024
15780,1,27/6/2024,8,4,true,Email,Bronze,Moderate,Likely,M,19,6,12,1072.99,2.666667,26/06/2024,26/06/2024
15694,5,6/5/2024,5,4,true,Email,None,High,Likely,F,41,11,29,1770.44,3.000000,12/06/2024,4/11/2024
15601,2,11/6/2024,10,3,false,Email,Bronze,High,Likely,F,46,87,194,6322.42,3.114943,14/11/2024,8/04/2024
15157,6,5/9/2024,6,2,false,Email,None,High,Very Likely,F,43,22,68,1006.08,2.318182,18/06/2024,18/06/2024
15661,2,9/6/2024,7,2,false,Email,Bronze,Moderate,Unlikely,F,24,2,5,825,2.500000,11/01/2024,21/07/2024
15059,1,13/7/2024,7,1,false,Email,None,High,Likely,F,20,14,25,1635.32,2.785714,10/06/2024,8/08/2024
14784,1,31/12/2024,6,2,false,Email,Silver,Low,Unlikely,F,25,,,,,,
13538,2,12/12/2024,7,3,false,Email,Bronze,Low,Unlikely,M,32,3,3,16.77,3.333333,17/11/2024,17/11/2024
15862,4,19/9/2024,1,2,true,SMS,Bronze,High,Very Likely,F,24,29,158,3647.95,3.241379,1/03/2024,1/03/2024
17430,2,24/10/2024,5,0,true,Email,Bronze,Low,Neutral,F,36,4,7,843,3.000000,15/04/2024,15/04/2024
16222,2,9/11/2024,11,2,false,Chatbot,None,High,Very Likely,F,45,71,130,4913.94,3.070423,25/10/2024,26/10/2024
16203,3,10/5/2024,10,2,false,SMS,Silver,Moderate,Unlikely,M,9,5,8,1074.98,3.800000,26/01/2024,26/01/2024
17239,4,4/8/2024,6,5,true,Email,None,High,Likely,F,28,6,8,1344.78,3.333333,13/07/2024,27/11/2024
16094,4,15/5/2024,5,3,false,Social Media,None,Low,Unlikely,F,16,,,,,,
17135,4,11/2/2024,6,1,false,Chatbot,Silver,Moderate,Likely,F,45,6,9,880.82,3.166667,31/01/2024,31/01/2024
16519,3,26/8/2024,10,2,false,Email,None,Low,Neutral,F,45,4,5,48.95,2.750000,18/04/2024,18/04/2024
16916,4,19/6/2024,5,2,false,SMS,None,High,Likely,F,7,25,50,1470.95,3.320000,23/01/2024,23/01/2024
17841,0,,6,5,false,Email,Silver,High,Very Likely,M,21,299,1437,26613.5,3.341137,1/12/2024,9/06/2024
15415,2,29/12/2024,6,1,true,Email,None,High,Likely,M,27,27,37,4406.99,4.148148,24/11/2024,25/11/2024
17412,6,11/8/2024,4,2,false,SMS,Bronze,High,Likely,F,19,9,48,1025.67,2.666667,22/06/2024,28/01/2024
16889,2,18/12/2024,3,2,false,SMS,Silver,High,Likely,F,23,27,489,1932.4,2.703704,8/02/2024,8/02/2024
14589,5,12/10/2024,4,3,true,SMS,Silver,Low,Unlikely,F,48,2,30,179.7,3.500000,2/02/2024,2/02/2024
16927,4,11/10/2024,3,1,false,Social Media,Gold,Low,Unlikely,F,45,,,,,,
14533,2,31/10/2024,2,5,false,SMS,None,Moderate,Likely,F,30,5,8,991.56,2.200000,13/07/2024,13/07/2024
17470,6,24/3/2024,6,3,true,Email,None,Moderate,Likely,F,48,4,7,793,4.250000,19/03/2024,19/03/2024
18075,2,27/9/2024,8,5,false,Email,None,High,Very Likely,F,12,13,56,1316.34,3.230769,16/11/2024,23/05/2024
14775,1,4/3/2024,3,2,false,Email,Bronze,High,Very Likely,F,25,9,26,826.25,3.222222,29/01/2024,29/01/2024
14841,3,4/8/2024,8,2,false,Email,None,Moderate,Likely,F,50,6,7,627.81,2.000000,13/06/2024,13/06/2024
17674,2,8/5/2024,3,0,false,Email,None,Moderate,Unlikely,M,2,4,5,52.95,2.500000,3/04/2024,3/04/2024
17629,4,26/12/2024,8,0,true,Chatbot,Bronze,High,Likely,F,11,11,15,1065.55,3.000000,6/03/2024,6/03/2024
17685,3,27/10/2024,4,2,false,Chatbot,None,High,Likely,M,37,23,64,1828.31,2.956522,25/01/2024,9/01/2024
15805,1,17/7/2024,4,0,false,Email,None,Moderate,Likely,M,33,8,247,1581.28,2.750000,22/04/2024,22/04/2024
15350,3,13/11/2024,7,3,false,Email,None,Low,Unlikely,M,48,1,1,122.77,2.000000,1/10/2024,1/10/2024
16143,5,14/5/2024,3,1,false,Email,None,High,Likely,F,9,9,19,1458.33,2.777778,3/01/2024,7/07/2024
14867,4,6/8/2024,6,2,true,Email,Bronze,High,Very Likely,F,50,7,7,144.72,2.285714,3/06/2024,8/07/2024
17218,3,19/10/2024,8,4,false,Chatbot,Silver,High,Likely,F,31,56,100,4333.05,3.321429,17/03/2024,8/11/2024
16306,1,5/7/2024,2,2,true,Email,Bronze,High,Likely,M,13,9,12,105.22,2.555556,24/03/2024,8/01/2024
17069,4,18/7/2024,5,3,false,Email,None,High,Likely,F,10,16,29,1457.13,3.500000,14/07/2024,7/05/2024
15939,5,15/6/2024,6,1,true,Chatbot,Bronze,High,Very Likely,F,11,6,6,409.31,2.166667,12/07/2024,23/08/2024
17865,1,24/12/2024,3,3,false,Email,Bronze,High,Likely,M,12,16,21,1635.56,2.875000,28/06/2024,5/01/2024
16470,3,10/11/2024,3,2,false,Social Media,Silver,High,Very Likely,F,13,18,71,1125.53,2.666667,14/06/2024,14/06/2024
15498,6,5/8/2024,4,4,false,Social Media,None,High,Likely,F,14,91,234,6586.06,3.230769,14/10/2024,4/06/2024
17320,3,17/8/2024,5,2,false,Social Media,None,Moderate,Unlikely,F,40,5,94,140.56,3.000000,18/03/2024,18/03/2024
16065,1,14/9/2024,6,0,false,SMS,Silver,High,Very Likely,F,41,35,56,3264.19,3.142857,14/04/2024,15/04/2024
17816,2,10/5/2024,6,3,false,Chatbot,Silver,Moderate,Likely,F,29,,,,,,
17742,1,21/8/2024,3,1,true,Email,None,High,Very Likely,F,35,4,33,268.35,2.000000,17/08/2024,17/08/2024
16532,1,25/8/2024,6,2,false,Email,None,Low,Unlikely,F,7,,,,,,
16596,1,2/12/2024,4,1,false,SMS,Gold,Low,Unlikely,F,18,3,12,32.88,2.666667,4/10/2024,4/10/2024
16684,3,21/8/2024,8,2,false,SMS,None,High,Likely,M,43,26,65,1970.58,3.269231,17/12/2024,30/06/2024
15579,2,10/12/2024,2,2,false,SMS,Bronze,High,Likely,F,21,7,9,1181.99,4.142857,22/11/2024,23/11/2024
15641,4,16/11/2024,2,1,false,Social Media,Bronze,Moderate,Unlikely,F,6,12,21,899.55,2.500000,6/09/2024,6/09/2024
12970,3,11/5/2024,2,1,false,Chatbot,Bronze,Moderate,Unlikely,F,2,5,51,335.7,2.800000,10/04/2024,10/04/2024
14295,3,27/8/2024,3,2,false,Email,Silver,Low,Neutral,F,7,1,1,199,2.000000,18/08/2024,18/08/2024
12434,0,,8,4,true,Email,None,Low,Neutral,F,32,,,,,,
17722,1,19/5/2024,1,3,false,Email,Bronze,High,Very Likely,F,12,44,84,3685.62,2.931818,21/09/2024,4/02/2024
15545,2,20/11/2024,5,3,true,Email,None,Moderate,Likely,F,39,11,25,1252.81,2.727273,2/10/2024,2/10/2024
12451,3,24/10/2024,5,2,false,Chatbot,None,High,Likely,M,49,49,359,4649.31,3.061224,19/09/2024,19/09/2024
17560,2,22/12/2024,4,1,true,Email,Bronze,Moderate,Likely,F,19,5,5,229.3,2.800000,12/12/2024,12/12/2024
12957,2,6/6/2024,6,2,false,Email,None,High,Likely,F,44,13,21,359.4,3.076923,17/07/2024,17/07/2024
17707,3,12/4/2024,2,0,false,Email,Gold,Low,Unlikely,F,4,1,1,10.63,1.000000,8/04/2024,8/04/2024
13680,1,19/4/2024,4,3,true,Chatbot,Bronze,High,Likely,M,34,51,117,3270.85,2.705882,18/07/2024,8/02/2024
14961,2,14/8/2024,3,2,false,Chatbot,Gold,High,Likely,M,34,25,35,2289.48,2.960000,24/05/2024,8/01/2024
12980,4,25/9/2024,3,1,false,Chatbot,Gold,Moderate,Likely,M,23,5,116,1013.15,2.600000,14/06/2024,23/08/2024
17732,3,24/1/2024,6,1,false,Chatbot,None,High,Likely,F,8,14,88,1531.72,3.214286,17/01/2024,17/01/2024
12431,3,9/2/2024,11,2,false,Email,None,High,Very Likely,F,14,23,28,2684,2.956522,1/02/2024,27/06/2024
15532,4,3/9/2024,2,4,false,Email,Gold,High,Very Likely,F,23,27,50,3029.73,2.592593,20/06/2024,21/06/2024
17027,7,13/2/2024,4,3,false,Email,Silver,High,Likely,F,32,16,20,1019.02,2.687500,11/01/2024,11/01/2024
15527,2,25/10/2024,0,5,false,SMS,Bronze,High,Very Likely,F,21,17,19,983.1,2.941176,18/11/2024,7/09/2024
14896,4,25/7/2024,2,2,false,Email,Bronze,High,Very Likely,F,40,14,22,850.93,3.142857,13/04/2024,14/04/2024
16385,0,,6,1,false,SMS,None,High,Very Likely,M,19,9,13,238.6,3.111111,4/03/2024,4/04/2024
15514,4,16/2/2024,6,1,true,Social Media,Silver,High,Likely,M,22,58,274,2830.59,3.051724,25/05/2024,5/01/2024
17596,5,21/9/2024,6,2,false,SMS,None,High,Very Likely,F,38,30,81,2616.38,3.166667,3/08/2024,3/08/2024
16327,1,3/4/2024,3,0,true,Email,None,High,Likely,M,44,45,70,3917.23,3.022222,17/11/2024,20/02/2024
14487,2,15/10/2024,6,2,false,Chatbot,None,Moderate,Unlikely,F,41,4,53,332.69,3.000000,13/03/2024,13/03/2024
14312,4,6/8/2024,3,3,false,Email,Silver,Moderate,Likely,M,27,18,48,1301.25,2.555556,12/12/2024,31/07/2024
14257,2,23/11/2024,6,4,false,Email,Silver,High,Likely,F,38,13,21,1602.97,3.153846,19/10/2024,19/10/2024
15002,5,19/6/2024,5,0,false,Email,Bronze,High,Very Likely,M,41,34,211,1933.51,2.705882,20/07/2024,22/03/2024
14497,4,26/12/2024,5,4,false,SMS,Bronze,High,Likely,M,42,15,86,1693.62,2.866667,19/12/2024,19/12/2024
14341,1,22/12/2024,6,4,false,Email,Silver,Moderate,Likely,F,3,8,121,449.1,2.500000,26/10/2024,26/10/2024
14329,5,28/7/2024,5,2,false,Email,Silver,High,Likely,F,22,33,62,1185.25,2.818182,9/01/2024,9/02/2024
17580,3,23/7/2024,1,2,false,Chatbot,None,High,Likely,M,30,23,56,2585.01,2.782609,20/06/2024,30/11/2024
