TRANSACTION_ID,CUSTOMER_ID,TRANSACTION_DATE,PRODUCT_SKU,PRODUCT_DESCRIPTION,PRODUCT_CATEGORY,QUANTITY,AVG_PRICE,DELIVERY_CHARGES,COUPON_STATUS,COUPON_CODE,DISCOUNT_PCT,PAYMENT_METHOD,SHIPPING_PROVIDER,TRANSACTION_RATING,GROSS_REVENUE,NET_REVENUE
38948,17602,25/09/2024,GGOEGAXR065129,Google Toddler Short Sleeve Tee Red,Apparel,1,13.59,6,Used,SALE30,30,Credit Card,Australia Post Courier,1,13.59,9.513
27214,15570,5/04/2024,GGOEGALQ036614,Google Women's Scoop Neck Tee White,Apparel,1,11.19,6,Not Used,no,0,Venmo,Australia Post Express,2,11.19,11.19
46106,18202,12/08/2024,GGOENEBQ086799,Nest Thermostat E - USA,Nest,1,100.91,6.5,Used,NE30,30,Venmo,Australia Post Express,4,100.91,70.637
38094,14657,13/09/2024,GGOEGOAQ020099,Four Color Retractable Pen,Office,30,2.39,6.5,Used,OFF30,30,Credit Card,Australia Post Courier,3,71.7,50.19
26955,13798,5/01/2024,GGOEAAAB081015,Android Men's Outerstellar Short Sleeve Tee Black,Apparel,1,15.99,6,Used,SALE20,20,Credit Card,Australia Post Courier,1,15.99,12.792
36254,16655,22/08/2024,GGOEGOLC014299,Google Metallic Notebook Set,Office,4,4.79,6.5,Not Used,no,0,Credit Card,Australia Post Express,3,19.16,19.16
34999,17114,8/08/2024,GGOEGAAB033815,Google Men's Vintage Badge Tee Black,Apparel,1,7.6,6,Used,SALE20,20,PayPal,Australia Post Courier,3,7.6,6.08
37305,17954,9/03/2024,GGOEADWQ015699,Android Rise 14 oz Mug,Drinkware,1,12.99,20,Used,EXTRA30,30,Credit Card,Toll Priority,4,12.99,9.093
44756,13089,27/11/2024,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6.5,Used,ELEC20,20,Credit Card,Australia Post Express,5,149,119.2
28367,17890,19/05/2024,GGOEGHGC019799,Google Sunglasses,Lifestyle,1,3.5,6,Used,EXTRA20,20,Credit Card,Australia Post Courier,3,3.5,2.8
32964,17841,17/07/2024,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,Used,ELEC10,10,Credit Card,Australia Post Courier,5,119,107.1
46915,17337,14/12/2024,GGOENEBQ092299,Nest Secure Alarm System Starter Pack - USA,Nest,1,355.74,19.99,Not Used,no,0,Credit Card,Toll Priority,4,355.74,355.74
46146,14549,12/08/2024,GGOEGAEH090615,Google Tee Green,Apparel,1,17.93,6.5,Used,SALE30,30,Credit Card,StarTrack Express,4,17.93,12.551
38224,14911,15/09/2024,GGOEGAEJ028016,Google Women's Short Sleeve Hero Tee Grey,Apparel,1,4.08,6,Not Used,no,0,Credit Card,Australia Post Express,3,4.08,4.08
31650,12668,30/06/2024,GGOEGPJC203399,Crunch Noise Dog Toy,Lifestyle,1,3.99,12.99,Not Used,no,0,Credit Card,CouriersPlease,2,3.99,3.99
29119,14606,30/05/2024,GGOEGAAJ032713,Google Men's Long & Lean Tee Grey,Apparel,6,13.99,6,Used,SALE20,20,Venmo,StarTrack Express,3,83.94,67.152
28915,14606,25/05/2024,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,119,6,Used,ELEC20,20,Venmo,Australia Post Courier,5,238,190.4
47763,12754,21/12/2024,GGOEGAEB091114,Google Zip Hoodie Black,Apparel,1,48.92,12.99,Not Used,no,0,Credit Card,CouriersPlease,1,48.92,48.92
35588,15039,14/08/2024,GGOENEBQ086499,Nest Cam IQ - USA,Nest,2,199,6,Not Used,no,0,Credit Card,Australia Post Express,3,398,398
18764,17850,24/01/2024,GGOEAKDH019899,Windup Android,Lifestyle,1,4.12,6.5,Not Used,no,0,Cash,StarTrack Express,4,4.12,4.12
27223,15570,5/04/2024,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6,Not Used,no,0,Credit Card,StarTrack Express,4,119,119
30953,13694,21/06/2024,GGOEGOCR017899,Recycled Paper Journal Set,Office,6,3.19,24.37,Used,OFF30,30,Credit Card,Toll Priority,4,19.14,13.398
25565,13240,14/04/2024,GGOEGAAQ010413,Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel,1,13.59,6.5,Used,SALE10,10,PayPal,Australia Post Express,1,13.59,12.231
26084,15555,20/04/2024,GGOENEBB081499,Nest Cam Indoor Security Camera - CA,Nest-Canada,3,149,8.7,Used,NCA10,10,PayPal,Australia Post Express,1,447,402.3
16751,15311,1/02/2024,GGOENEBB081499,Nest Cam Indoor Security Camera - CA,Nest-Canada,2,153.71,8.7,Used,NCA10,10,PayPal,Australia Post Express,2,307.42,276.678
30732,15601,19/06/2024,GGOEAAYC068724,Android Youth Short Sleeve T-shirt Aqua,Apparel,1,15.19,6,Not Used,no,0,Credit Card,Australia Post Courier,1,15.19,15.19
34566,12501,8/03/2024,GGOEYAYR068624,YouTube Youth Short Sleeve Tee Red,Apparel,1,15.19,12.99,Not Used,no,0,Credit Card,CouriersPlease,2,15.19,15.19
26550,14037,27/04/2024,GGOEGAPJ058013,Google Women's 1/4 Zip Jacket Charcoal,Apparel,1,87.99,6,Used,SALE10,10,PayPal,StarTrack Express,1,87.99,79.191
44762,13089,27/11/2024,GGOEGAEL091313,Google Crew Sweater Navy,Apparel,1,41.59,14.41,Used,SALE20,20,Debit Card,CouriersPlease,2,41.59,33.272
23917,15858,23/03/2024,GGOEWFKA083099,Waze Mood Happy Window Decal,Waze,1,1.59,6.5,Not Used,no,0,Credit Card,Australia Post Courier,3,1.59,1.59
33787,15271,26/07/2024,GGOEYAYR068626,YouTube Youth Short Sleeve Tee Red,Apparel,1,15.19,12.91,Used,SALE10,10,PayPal,CouriersPlease,2,15.19,13.671
18668,14466,23/01/2024,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,Used,ELEC10,10,Credit Card,Australia Post Courier,3,153.71,138.339
46280,12682,12/09/2024,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,151.88,6.5,Not Used,no,0,Credit Card,Australia Post Express,5,151.88,151.88
22172,15919,3/06/2024,GGOEYHPB072210,YouTube Twill Cap,Apparel,1,10.99,6.5,Used,SALE30,30,Credit Card,Australia Post Courier,2,10.99,7.693
20022,16725,2/09/2024,GGOEGDHB072099,Google Insulated Stainless Steel Bottle,Drinkware,4,15.99,28.78,Used,EXTRA20,20,Debit Card,Toll Priority,2,63.96,51.168
31445,13869,28/06/2024,GGOEGAAB033815,Google Men's Vintage Badge Tee Black,Apparel,1,10.63,12.48,Used,SALE30,30,Credit Card,CouriersPlease,2,10.63,7.441
41853,16497,27/10/2024,GGOEGAUC057716,Google Women's Performance Golf Polo Blue,Apparel,2,14.5,6,Not Used,no,0,PayPal,StarTrack Express,1,29,29
25417,16782,4/12/2024,GGOEGDHC082299,Google 25 oz Blue Stainless Steel Bottle,Drinkware,2,11.19,6,Used,EXTRA10,10,Credit Card,Australia Post Courier,2,22.38,20.142
21973,18219,3/04/2024,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1,79,6.5,Not Used,no,0,Credit Card,Australia Post Courier,4,79,79
44653,17463,26/11/2024,GGOENEBQ092399,Nest Cam IQ Outdoor - USA (Preorder),Nest,1,279,6.5,Not Used,no,0,PayPal,Australia Post Express,3,279,279
36390,13093,23/08/2024,GGOEYAAJ033014,YouTube Men's Long & Lean Tee Charcoal,Apparel,1,8,6,Used,SALE20,20,PayPal,Australia Post Courier,2,8,6.4
32405,15034,7/11/2024,GGOEGFYQ016599,Foam Can and Bottle Cooler,Drinkware,8,1.11,6,Used,EXTRA10,10,Credit Card,Australia Post Courier,2,8.88,7.992
43827,15547,18/11/2024,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,2,79,6,Used,ELEC20,20,Venmo,Australia Post Express,3,158,126.4
32406,15034,7/11/2024,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6,Not Used,no,0,PayPal,Australia Post Express,5,149,149
46132,14549,12/08/2024,GGOEGAAJ032816,Google Men's Long & Lean Tee Charcoal,Apparel,1,4.89,6.5,Used,SALE30,30,Credit Card,StarTrack Express,2,4.89,3.423
31617,17913,30/06/2024,GGOEGHGC019799,Google Sunglasses,Lifestyle,8,2.8,6.5,Used,EXTRA30,30,PayPal,StarTrack Express,3,22.4,15.68
28588,13050,21/05/2024,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,3,119,12.99,Used,ELEC20,20,Credit Card,CouriersPlease,4,357,285.6
17735,13093,1/12/2024,GGOEAKDH019899,Windup Android,Lifestyle,2,4.12,6.5,Not Used,no,0,Credit Card,Australia Post Courier,4,8.24,8.24
29364,17017,6/01/2024,GGOEGOLC014299,Google Metallic Notebook Set,Office,85,4.79,21.29,Used,OFF30,30,Credit Card,Toll Priority,3,407.15,285.005
25336,15358,4/11/2024,GGOEYAAQ031715,YouTube Men's Short Sleeve Hero Tee White,Apparel,1,16.99,6.5,Used,SALE10,10,Credit Card,StarTrack Express,2,16.99,15.291
33072,13680,18/07/2024,GGOEWEBB082699,Waze Mobile Phone Vent Mount,Waze,1,5.59,6,Used,WEMP10,10,Debit Card,StarTrack Express,3,5.59,5.031
35887,12393,17/08/2024,GGOEGFYQ016599,Foam Can and Bottle Cooler,Drinkware,1,1.11,6,Used,EXTRA20,20,PayPal,Australia Post Express,4,1.11,0.888
17752,13468,1/12/2024,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,Not Used,no,0,PayPal,Australia Post Courier,5,153.71,153.71
45234,17580,30/11/2024,GGOEGAEC090715,Google Tee Blue,Apparel,1,17.59,6.5,Used,SALE20,20,Credit Card,Australia Post Express,1,17.59,14.072
22806,16550,14/03/2024,GGOEAAAC080915,Android Lifted Men's Short Sleeve Tee Blue,Apparel,1,15.99,6.5,Not Used,no,0,Credit Card,StarTrack Express,2,15.99,15.99
33156,16241,19/07/2024,GGOEGAFJ036215,Google Men's Pullover Hoodie Grey,Apparel,3,29.11,12.91,Not Used,no,0,Venmo,CouriersPlease,3,87.33,87.33
19433,16905,2/01/2024,GGOEGBRJ037399,Google Rucksack,Bags,2,55.99,6.5,Not Used,no,0,PayPal,StarTrack Express,4,111.98,111.98
41260,15601,20/10/2024,GGOEGADB056718,Men's Softshell Jacket Black/Grey,Apparel,1,79.19,6,Used,SALE10,10,PayPal,Australia Post Express,2,79.19,71.271
36680,13694,26/08/2024,GGOEGAAH034017,Google Men's Vintage Badge Tee Sage,Apparel,1,4.56,6,Not Used,no,0,Credit Card,Australia Post Express,1,4.56,4.56
22923,17223,15/03/2024,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,2,119,6.5,Not Used,no,0,PayPal,Australia Post Courier,5,238,238
44854,12731,27/11/2024,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,3,119,6.5,Not Used,no,0,Credit Card,Australia Post Express,3,357,357
32897,14606,17/07/2024,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,5,79,6,Used,ELEC10,10,PayPal,Australia Post Express,5,395,355.5
20587,13506,16/02/2024,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6.5,Used,ELEC20,20,Credit Card,StarTrack Express,5,149,119.2
32342,15460,7/11/2024,GGOEA0CH077599,Android Hard Cover Journal,Notebooks & Journals,6,11.99,12.91,Used,NJ10,10,Credit Card,CouriersPlease,1,71.94,64.746
36505,17338,24/08/2024,GGOEGAXQ067129,Google Toddler Short Sleeve Tee White,Apparel,1,13.59,6,Used,SALE20,20,Credit Card,Australia Post Express,1,13.59,10.872
39322,14062,28/09/2024,GGOENEBQ086499,Nest Cam IQ - USA,Nest,2,199,6,Used,NE30,30,PayPal,StarTrack Express,2,398,278.6
33417,12681,22/07/2024,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,5,79,19.99,Not Used,no,0,PayPal,Toll Priority,3,395,395
36596,12868,25/08/2024,GGOEGAAJ059116,Google Men's Short Sleeve Performance Badge Tee Pewter,Apparel,1,8.8,6,Used,SALE20,20,Credit Card,Australia Post Courier,2,8.8,7.04
37192,15033,9/01/2024,GGOEGHGH019699,Google Sunglasses,Lifestyle,2,3.5,6,Not Used,no,0,Credit Card,Australia Post Express,3,7,7
29241,13102,31/05/2024,GGOEGGCX056299,Gift Card - $25.00,Gift Cards,1,25,0,Used,GC20,20,PayPal,Australia Post Free Parcel,3,25,20
34431,12481,8/02/2024,GGOEADWQ015699,Android Rise 14 oz Mug,Drinkware,1,10.39,6,Not Used,no,0,Cash,Australia Post Express,4,10.39,10.39
43421,15601,14/11/2024,GGOEGAWR061849,Google Infant Short Sleeve Tee Red,Apparel,1,13.59,6,Used,SALE20,20,Credit Card,Australia Post Courier,2,13.59,10.872
34074,13764,30/07/2024,GGOEGAAJ032814,Google Men's Long & Lean Tee Charcoal,Apparel,1,4.8,6,Used,SALE10,10,Credit Card,Australia Post Courier,5,4.8,4.32
47651,13208,20/12/2024,GGOEGAPL087999,Google Snapback Navy Cap,Headgear,1,16.3,6.5,Not Used,no,0,Credit Card,Australia Post Express,3,16.3,16.3
37524,13634,9/06/2024,GGOEGOLC014299,Google Metallic Notebook Set,Office,4,5.99,6,Used,OFF30,30,Credit Card,StarTrack Express,4,23.96,16.772
28161,14085,16/05/2024,GGOEGAXJ065529,Google Toddler Short Sleeve T-shirt Grey,Apparel,1,9.51,6,Used,SALE20,20,Credit Card,Australia Post Courier,1,9.51,7.608
17734,13093,1/12/2024,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,Used,ELEC10,10,PayPal,Australia Post Courier,3,122.77,110.493
22247,16719,3/07/2024,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6.5,Used,ELEC30,30,Credit Card,Australia Post Courier,3,119,83.3
22861,13089,14/03/2024,GGOEYAEB035614,YouTube Men's Vintage Tank,Apparel,1,20.99,6.5,Used,SALE30,30,Credit Card,Australia Post Courier,3,20.99,14.693
43487,16725,15/11/2024,GGOEAFKA087499,Android Small Removable Sticker Sheet,Accessories,1,2.99,6,Used,ACC20,20,PayPal,Australia Post Courier,4,2.99,2.392
19805,17954,2/06/2024,GGOEGBJC019999,Collapsible Shopping Bag,Bags,15,3.99,18.47,Used,AIO20,20,Credit Card,Toll Priority,3,59.85,47.88
33572,15046,24/07/2024,GGOEGDWR015799,Red Shine 15 oz Mug,Drinkware,1,10.39,6,Not Used,no,0,Credit Card,StarTrack Express,4,10.39,10.39
41136,14298,19/10/2024,GGOEGADC059517,Google Men's Microfiber 1/4 Zip Pullover Blue/Indigo,Apparel,2,37.49,6,Used,SALE10,10,Credit Card,Australia Post Express,1,74.98,67.482
35139,16735,8/09/2024,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,Not Used,no,0,Venmo,Australia Post Express,4,119,119
35765,13767,16/08/2024,GGOEGFKA022299,Keyboard DOT Sticker,Office,1,1.2,6,Not Used,no,0,PayPal,Australia Post Express,4,1.2,1.2
39392,15498,29/09/2024,GGOEGALQ036616,Google Women's Scoop Neck Tee White,Apparel,6,4.8,23.01,Used,SALE30,30,Credit Card,Toll Priority,3,28.8,20.16
38829,14307,23/09/2024,GGOEGBMJ013399,Sport Bag,Bags,1,3.99,6,Not Used,no,0,PayPal,Australia Post Courier,2,3.99,3.99
28271,17231,17/05/2024,GGOEGAAJ032816,Google Men's Long & Lean Tee Charcoal,Apparel,1,11.19,6,Used,SALE20,20,Debit Card,Australia Post Express,2,11.19,8.952
28142,14565,16/05/2024,GGOEGDHC018299,Google 22 oz Water Bottle,Drinkware,3,2.39,6,Not Used,no,0,PayPal,Australia Post Courier,3,7.17,7.17
47599,17507,19/12/2024,GGOEAAEB091717,Android Tone Hoodie Black,Apparel,1,61.15,6,Not Used,no,0,PayPal,StarTrack Express,2,61.15,61.15
22960,17191,15/03/2024,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,5,79,6.5,Not Used,no,0,Venmo,Australia Post Express,3,395,395
30117,15727,6/11/2024,GGOEGFSR022099,Google Kick Ball,Lifestyle,1,1.99,6,Not Used,no,0,Credit Card,Australia Post Express,3,1.99,1.99
19585,14083,2/03/2024,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1,79,6.5,Used,ELEC20,20,Credit Card,Australia Post Courier,3,79,63.2
33641,15464,25/07/2024,GGOEGOCB078299,Google Leather Journal-Black,Notebooks & Journals,5,13.2,16.47,Not Used,no,0,Debit Card,Toll Priority,1,66,66
29160,14415,30/05/2024,GGOENEBQ084699,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1,149,6,Used,ELEC20,20,Credit Card,Australia Post Express,5,149,119.2
35725,17406,15/08/2024,GGOEGAYT068524,Google Youth Short Sleeve T-shirt Yellow,Apparel,1,7.6,6,Used,SALE20,20,Credit Card,StarTrack Express,3,7.6,6.08
35944,12557,17/08/2024,GGOEGAAQ010415,Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel,1,16.99,6,Used,SALE20,20,PayPal,Australia Post Express,2,16.99,13.592
45233,17580,30/11/2024,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,3,79,6.5,Used,ELEC20,20,PayPal,StarTrack Express,2,237,189.6
44239,16923,22/11/2024,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6.5,Used,ELEC20,20,Credit Card,StarTrack Express,4,149,119.2
32240,14051,7/10/2024,GGOEGAYB068025,Google Youth Baseball Raglan Heather/Black,Apparel,1,24.99,6,Used,SALE10,10,Credit Card,Australia Post Courier,2,24.99,22.491
33178,15808,19/07/2024,GGOEGOAA017199,Rubber Grip Ballpoint Pen 4 Pack,Office,2,2.79,6.5,Used,OFF10,10,Debit Card,Australia Post Express,3,5.58,5.022
17270,16210,1/06/2024,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1,81.5,6.5,Not Used,no,0,Debit Card,Australia Post Express,3,81.5,81.5
22994,17191,16/03/2024,GGOEGAAB010515,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,1,16.99,6.5,Not Used,no,0,PayPal,Australia Post Express,4,16.99,16.99
48157,13963,26/12/2024,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,151.88,6.5,Not Used,no,0,Cash,StarTrack Express,5,151.88,151.88
20292,14800,13/02/2024,GGOEYAYR068656,YouTube Youth Short Sleeve Tee Red,Apparel,1,18.99,6.5,Used,SALE20,20,PayPal,Australia Post Express,2,18.99,15.192
30245,13408,6/12/2024,GGOEYAYR068624,YouTube Youth Short Sleeve Tee Red,Apparel,1,15.19,6,Used,SALE30,30,PayPal,Australia Post Express,3,15.19,10.633
39657,17277,10/03/2024,GGOEGOXQ016399,Badge Holder,Office,50,1.99,6,Not Used,no,0,Debit Card,Australia Post Express,4,99.5,99.5
25951,17950,19/04/2024,GGOEGAFB035814,Google Men's  Zip Hoodie,Apparel,1,44.79,12.48,Used,SALE10,10,Credit Card,CouriersPlease,3,44.79,40.311
21880,12748,3/04/2024,GGOEGOBC078699,Google Luggage Tag,Fun,6,7.19,6.5,Used,ELEC10,10,Credit Card,StarTrack Express,3,43.14,38.826
23381,17091,19/03/2024,GGOEGFKQ020399,Google Laptop and Cell Phone Stickers,Office,1,1.99,75,Used,OFF30,30,PayPal,Toll Priority,5,1.99,1.393
47925,17381,22/12/2024,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,5,121.3,6.5,Used,ELEC30,30,Credit Card,Australia Post Express,4,606.5,424.55
20687,17059,17/02/2024,GGOENEBB079399,Nest Protect Smoke + CO Black Wired Alarm-USA,Nest-USA,3,79,6.5,Used,ELEC20,20,Credit Card,Australia Post Express,2,237,189.6
30488,17062,15/06/2024,GGOEGAEJ035317,Google Vintage Henley Grey/Black,Apparel,1,23.99,6,Used,SALE30,30,Credit Card,StarTrack Express,3,23.99,16.793
41092,18077,18/10/2024,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,199,6,Used,ELEC10,10,Debit Card,StarTrack Express,4,199,179.1
24989,13649,4/07/2024,GGOEGBJR018199,Reusable Shopping Bag,Bags,1,2.8,6.5,Not Used,no,0,PayPal,Australia Post Express,2,2.8,2.8
47908,13137,22/12/2024,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1,80.52,6.5,Not Used,no,0,PayPal,Australia Post Courier,3,80.52,80.52
46952,17337,15/12/2024,GGOEGDHH087299,Google Thermal Bottle Green,Drinkware,6,19.56,12.91,Used,EXTRA30,30,Credit Card,CouriersPlease,4,117.36,82.152
38585,14769,20/09/2024,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1,79,6,Used,ELEC30,30,Credit Card,Australia Post Courier,4,79,55.3
28662,16442,22/05/2024,GGOEGFKA022299,Keyboard DOT Sticker,Office,1,1.2,51.99,Used,OFF20,20,Credit Card,Toll Priority,3,1.2,0.96
23242,12748,18/03/2024,GGOEGOXQ016399,Badge Holder,Office,25,1.99,6.5,Not Used,no,0,Credit Card,Australia Post Courier,3,49.75,49.75
21550,17402,28/02/2024,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,2,119,6.5,Not Used,no,0,PayPal,Australia Post Courier,4,238,238
41024,13615,18/10/2024,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,Used,ELEC10,10,Credit Card,Australia Post Express,5,119,107.1
30474,17146,15/06/2024,GGOEGAAQ010415,Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel,15,13.59,48.59,Not Used,no,0,Credit Card,Toll Priority,3,203.85,203.85
17022,14307,1/04/2024,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,153.71,6.5,Used,ELEC10,10,PayPal,StarTrack Express,4,307.42,276.678
24257,18077,28/03/2024,GGOEGOAA017099,Ballpoint Stick Pen 4 Pack,Office,25,3.19,22.71,Used,OFF30,30,Cash,Toll Priority,4,79.75,55.825
34299,13280,8/01/2024,GGOEGAEJ028015,Google Women's Short Sleeve Hero Tee Grey,Apparel,1,5.1,6,Used,SALE20,20,PayPal,Australia Post Express,2,5.1,4.08
20511,18118,15/02/2024,GGOEGOAB015899,Rainbow Stylus Pen,Office,24,1.5,6.5,Not Used,no,0,PayPal,Australia Post Courier,1,36,36
24920,15298,4/06/2024,GGOEGBCR024399,Google Lunch Bag,Bags,1,11.19,6.5,Used,AIO10,10,Credit Card,Australia Post Courier,2,11.19,10.071
39927,12916,10/05/2024,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,119,6,Not Used,no,0,Credit Card,Australia Post Courier,2,119,119
43032,14701,11/09/2024,GGOENEBD084799,Nest Learning Thermostat 3rd Gen-USA - Copper,Nest-USA,1,149,19.99,Used,ELEC20,20,PayPal,Toll Priority,2,149,119.2
31790,16686,7/04/2024,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,149,6,Used,ELEC10,10,Credit Card,Australia Post Express,5,298,268.2
34537,12501,8/03/2024,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6,Used,ELEC20,20,Credit Card,Australia Post Courier,5,119,95.2
38447,12665,19/09/2024,GGOEGAAQ033913,Google Men's Vintage Badge Tee White,Apparel,3,4.56,12.91,Used,SALE30,30,Venmo,CouriersPlease,2,13.68,9.576
26963,13798,5/01/2024,GGOEGBJL013999,Google Canvas Tote Natural/Navy,Bags,1,12.79,15.75,Used,AIO20,20,Credit Card,Toll Priority,4,12.79,10.232
17616,14594,1/11/2024,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,Used,ELEC10,10,PayPal,Australia Post Courier,3,122.77,110.493
36756,16315,27/08/2024,GGOEGAAQ010415,Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel,1,16.99,6,Used,SALE20,20,Credit Card,Australia Post Courier,2,16.99,13.592
23755,17511,21/03/2024,GGOEGAAB010514,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,1,13.59,6.5,Not Used,no,0,Credit Card,Australia Post Courier,2,13.59,13.59
20696,17059,17/02/2024,GGOEGAEB084517,BLM Sweatshirt,Apparel,2,41.99,6.5,Used,SALE20,20,PayPal,Australia Post Express,2,83.98,67.184
